1258623881	20240820	202408	2024	2024.6301	AUS	AUSTRALIA	AUS								ESP	BARCELONA	ESP								1	051	051	05	1	3.4	2	1	2	1.36645962732919	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	4	Mountain View, Victoria, Australia	AS	AS07	5414	-38.2667	145.867	-1589169	20250820163000	http://www.prnewswire.com/news-releases/google-and-skylo-expand-satellite-connectivity-to-pixel-10-series-and-unveil-pixel-watch-4-the-worlds-first-smartwatch-with-2-way-satellite-emergency-messaging-302534828.html
1258624346	20250820	202508	2025	2025.6301	COP	POLICE FORCE						COP													1	173	173	17	4	-5.0	1	1	1	-10.0917431192661	4	Thana, Maharashtra, India	IN	IN16	70183	19.2	72.9667	-2112952	0								4	Ichak, Jharkhand, India	IN	IN38	70146	24.0833	85.4167	-2097710	20250820163000	https://www.prokerala.com/news/articles/a1666025.html
1258624347	20250820	202508	2025	2025.6301	COP	POLICE FORCE						COP													1	173	173	17	4	-5.0	7	1	7	-10.0917431192661	4	Thana, Maharashtra, India	IN	IN16	70183	19.2	72.9667	-2112952	0								4	Thana, Maharashtra, India	IN	IN16	70183	19.2	72.9667	-2112952	20250820163000	https://www.prokerala.com/news/articles/a1666025.html
1258624348	20250820	202508	2025	2025.6301	COP	POLICE OFFICER						COP													1	173	173	17	4	-5.0	3	1	3	-14.1235813366961	3	Will County, Illinois, United States	US	USIL	IL197	41.4334	-87.9667	1785190	0								3	Will County, Illinois, United States	US	USIL		41.4334	-87.9667	1785190	20250820163000	https://www.chicagotribune.com/2025/08/20/child-pornography-evergreen-park/
1258624349	20250820	202508	2025	2025.6301	COP	PRISON						COP													1	173	173	17	4	-5.0	3	1	3	-7.8167115902965	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	0								2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250820163000	https://www.live5news.com/2025/08/20/hollywood-man-found-guilty-killing-robbing-his-cousin-sentenced-prison/
1258624350	20250820	202508	2025	2025.6301	COP	DEPUTY						COP			BGD	BANGLADESH	BGD								1	040	040	04	1	1.0	2	1	2	-2.52707581227437	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	4	Dhaka, Dhaka, Bangladesh	BG	BG81	5778	23.7231	90.4086	-2737683	20250820163000	https://www.bssnews.net/news-flash/303628
1258624351	20250820	202508	2025	2025.6301	COP	POLICE FORCE						COP			CVL	COMMUNITY						CVL			0	036	036	03	1	4.0	5	1	5	1.60320641282565	4	Ondangwa, Oshana, Namibia	WA	WA37	22326	-17.9167	15.95	-2585186	4	Ondangwa, Oshana, Namibia	WA	WA37	22326	-17.9167	15.95	-2585186	4	Ondangwa, Oshana, Namibia	WA	WA37	22326	-17.9167	15.95	-2585186	20250820163000	https://allafrica.com/stories/202508200484.html
1258624352	20250820	202508	2025	2025.6301	COP	POLICE						COP			CVL	VOTER						CVL			1	120	120	12	3	-4.0	4	1	4	-5.55555555555556	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20250820163000	https://timesofindia.indiatimes.com/india/icssr-pulls-up-csds-for-data-manipulation-seeks-funding-details-nagpur-nashik-police-cases-add-heat/articleshow/123414068.cms
1258624353	20250820	202508	2025	2025.6301	COP	POLICE						COP			DEU	BRUNSWICK	DEU								1	023	023	02	1	3.4	10	1	10	0.98039215686275	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	2	Maine, United States	US	USME		44.6074	-69.3977	ME	20250820163000	https://fox23maine.com/news/local/police-seek-publics-help-in-search-for-missing-brunswick-woman-rebecca-dorr-botany-place-neighborhood-pleasant-hill-road-maine-street
1258624354	20250820	202508	2025	2025.6301	COP	PRISON						COP			DEU	GERMANY	DEU								1	173	173	17	4	-5.0	2	1	2	-4.05643738977072	4	Chemnitz, Sachsen, Germany	GM	GM13	16559	50.8333	12.9167	-1756500	4	Chemnitz, Sachsen, Germany	GM	GM13	16559	50.8333	12.9167	-1756500	4	Chemnitz, Sachsen, Germany	GM	GM13	16559	50.8333	12.9167	-1756500	20250820163000	https://www.aol.co.uk/neo-nazi-changes-gender-serve-160917458.html
1258624355	20250820	202508	2025	2025.6301	COP	POLICE						COP			EDU	SCHOOL						EDU			1	1823	182	18	4	-10.0	10	1	10	-3.65168539325843	0								0								0								20250820163000	https://www.thesunchronicle.com/news/local_news/boyfriend-of-pregnant-18-year-old-woman-confessed-to-her-murder-in-rehoboth-prosecutor-says/article_435564b9-169e-4aae-bdbc-93124b9a8aee.html
1258624356	20250820	202508	2025	2025.6301	COP	NATIONAL POLICE						COP			ELI	RETIRED						ELI			1	040	040	04	1	1.0	6	1	6	-6.34920634920635	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	3	Baltimore, Maryland, United States	US	USMD	MD510	39.2904	-76.6122	597040	20250820163000	https://foxbaltimore.com/fox45-mornings/law-enforcement-expert-weighs-in-on-serial-burglar-back-in-custody
1258624357	20250820	202508	2025	2025.6301	COP	INVESTIGATIVE AGENCY						COP			GOV	MINIST FOR ELECTRICITY						GOV			0	173	173	17	4	-5.0	6	1	6	-5.68181818181818	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20250820163000	https://www.thehindubusinessline.com/news/step-by-centre-towards-something-more-than-a-super-emergency-says-mamata-banerjee-condemning-the-130th-constitutional-amendment-bill/article69956732.ece
1258624358	20250820	202508	2025	2025.6301	COP	DEPUTY						COP			GOVENV	ENVIRONMENT MINIST						GOV	ENV		0	010	010	01	1	0.0	6	1	6	-3.11284046692607	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	1	United Kingdom	UK	UK		54	-4	UK	20250820163000	https://jerseyeveningpost.com/news/2025/08/20/plans-to-block-use-of-apology-letters-in-health-legal-claims-to-be-scrutinised/
1258624359	20250820	202508	2025	2025.6301	COP	INVESTIGATIVE AGENCY						COP			IND	TAMIL NADU	IND								0	173	173	17	4	-5.0	2	1	2	-5.68181818181818	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20250820163000	https://www.thehindubusinessline.com/news/step-by-centre-towards-something-more-than-a-super-emergency-says-mamata-banerjee-condemning-the-130th-constitutional-amendment-bill/article69956732.ece
1258624360	20250820	202508	2025	2025.6301	COP	INVESTIGATIVE AGENCY						COP			INDGOV	TAMIL NADU	IND					GOV			0	173	173	17	4	-5.0	2	1	2	-5.68181818181818	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	5	Tamil Nadu, Tamil Nadu, India	IN	IN25	70248	11	78	-2112557	20250820163000	https://www.thehindubusinessline.com/news/step-by-centre-towards-something-more-than-a-super-emergency-says-mamata-banerjee-condemning-the-130th-constitutional-amendment-bill/article69956732.ece
1258624361	20250820	202508	2025	2025.6301	COP	POLICE						COP			JUD	HIGH COURT						JUD			0	010	010	01	1	0.0	4	1	4	-1.63487738419618	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	4	Gaza, Israel (general), Israel	IS	IS00	18315	31.4167	34.3333	-797156	20250820163000	https://indianexpress.com/article/cities/mumbai/azad-maidan-palestine-violence-protest-gaza-10201321/
1258624362	20250820	202508	2025	2025.6301	COP	POLICE						COP			JUD	ATTORNEY						JUD			1	020	020	02	1	3.0	3	1	3	-6.9078947368421	3	Cook County, Illinois, United States	US	USIL	IL031	41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250820163000	https://www.chicagotribune.com/2025/08/20/bullet-officer-krystal-rivera-autopsy/
1258624363	20250820	202508	2025	2025.6301	COP	POLICEMEN						COP			LEG	LEGISLATOR						LEG			1	180	180	18	4	-9.0	10	1	10	-7.60095011876485	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Kolkata, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20250820163000	https://www.prokerala.com/news/articles/a1666018.html
1258624364	20250820	202508	2025	2025.6301	COP	POLICE						COP			MDV	MALE	MDV								1	060	060	06	2	6.0	10	1	10	-4.63414634146342	0								0								0								20250820163000	https://www.liverpoolecho.co.uk/news/liverpool-news/man-knocked-unconscious-bold-street-32315556
1258624365	20250820	202508	2025	2025.6301	COP	TROOPER						COP			MEDCOP	MEDIA						MED	COP		1	090	090	09	2	-2.0	4	1	4	-8.89830508474577	3	Delaware County, Pennsylvania, United States	US	USPA	PA045	40.0004	-75.3749	1209177	3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	20250820163000	https://www.pottsmerc.com/2025/08/20/police-escaped-prisoner-was-being-taken-to-jail-after-entering-vehicles-in-haverford/
1258624366	20250820	202508	2025	2025.6301	COP	TROOPER						COP			MEDCOP	MEDIA						MED	COP		1	090	090	09	2	-2.0	1	1	1	-8.89830508474577	3	Delaware County, Pennsylvania, United States	US	USPA	PA045	40.0004	-75.3749	1209177	3	Delaware County, Pennsylvania, United States	US	USPA		40.0004	-75.3749	1209177	3	Norristown, Pennsylvania, United States	US	USPA	PA091	40.1215	-75.3399	1213641	20250820163000	https://www.pottsmerc.com/2025/08/20/police-escaped-prisoner-was-being-taken-to-jail-after-entering-vehicles-in-haverford/
1258624367	20250820	202508	2025	2025.6301	COP	POLICE						COP			MNCCAN	TESCO	CAN					MNC			1	020	020	02	1	3.0	5	1	5	-11.7241379310345	0								0								0								20250820163000	https://www.bbc.com/news/articles/c5y264y14rgo
1258624368	20250820	202508	2025	2025.6301	COP	POLICE						COP			MNCJPN	HONDA	JPN					MNC			1	057	057	05	1	8.0	5	1	5	-6.25	1	Angola	AO	AO		-12.5	18.5	AO	1	Angola	AO	AO		-12.5	18.5	AO	1	Angola	AO	AO		-12.5	18.5	AO	20250820163000	https://www.wmdt.com/2025/08/dsp-investigating-fatal-two-vehicle-crash-near-angola/
1258624369	20250820	202508	2025	2025.6301	COP	POLICE						COP			NAM	NAMIBIA	NAM								0	010	010	01	1	0.0	2	1	2	-6.32911392405063	4	Mariental, Hardap, Namibia	WA	WA30	22262	-24.6333	17.9667	-2583685	4	Mariental, Hardap, Namibia	WA	WA30	22262	-24.6333	17.9667	-2583685	4	Mariental, Hardap, Namibia	WA	WA30	22262	-24.6333	17.9667	-2583685	20250820163000	https://allafrica.com/stories/202508200584.html
1258624370	20250820	202508	2025	2025.6301	COP	DETECTIVE						COP			USA	UNITED STATES	USA								0	090	090	09	2	-2.0	2	1	2	-7.8167115902965	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	20250820163000	https://www.live5news.com/2025/08/20/hollywood-man-found-guilty-killing-robbing-his-cousin-sentenced-prison/
1258624371	20250820	202508	2025	2025.6301	COP	DETECTIVE						COP			USA	UNITED STATES	USA								0	090	090	09	2	-2.0	2	1	2	-7.8167115902965	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	3	Hollywood, California, United States	US	USCA	CA037	34.0983	-118.327	1660757	2	South Carolina, United States	US	USSC		33.8191	-80.9066	SC	20250820163000	https://www.live5news.com/2025/08/20/hollywood-man-found-guilty-killing-robbing-his-cousin-sentenced-prison/
1258624372	20250820	202508	2025	2025.6301	COP	POLICE						COP			USA	CHICAGO	USA								0	112	112	11	3	-2.0	1	1	1	-14.1235813366961	3	New Lenox, Illinois, United States	US	USIL	IL197	41.512	-87.9656	414439	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	3	Chicago, Illinois, United States	US	USIL	IL031	41.85	-87.6501	423587	20250820163000	https://www.chicagotribune.com/2025/08/20/child-pornography-evergreen-park/
1258624373	20250820	202508	2025	2025.6301	COP	POLICE						COP			USA	UNITED STATES	USA								1	182	182	18	4	-9.5	2	1	2	-6.25	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	20250820163000	https://www.wmdt.com/2025/08/dsp-investigating-fatal-two-vehicle-crash-near-angola/
1258624374	20250820	202508	2025	2025.6301	COP	POLICE						COP			USA	NEW JERSEY	USA								1	182	182	18	4	-9.5	2	1	2	-6.25	2	Maryland, United States	US	USMD		39.0724	-76.7902	MD	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250820163000	https://www.wmdt.com/2025/08/dsp-investigating-fatal-two-vehicle-crash-near-angola/
1258624375	20250820	202508	2025	2025.6301	COP	POLICE						COP			USA	UNITED STATES	USA								1	182	182	18	4	-9.5	1	1	1	-6.25	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	3	Jersey City, New Jersey, United States	US	USNJ		40.7282	-74.0776	877450	2	New Jersey, United States	US	USNJ		40.314	-74.5089	NJ	20250820163000	https://www.wmdt.com/2025/08/dsp-investigating-fatal-two-vehicle-crash-near-angola/
1258624376	20250820	202508	2025	2025.6301	COPGOVMIL	DEPUTY						COP	GOV	MIL	MIL	GARRISON						MIL			0	090	090	09	2	-2.0	10	1	10	3.7463976945245	4	Ayagoz, Shyghys Qazaqstan, Kazakhstan	KZ	KZ15	37293	47.9645	80.4344	-2334605	4	Ayagoz, Shyghys Qazaqstan, Kazakhstan	KZ	KZ15	37293	47.9645	80.4344	-2334605	4	Ayagoz, Shyghys Qazaqstan, Kazakhstan	KZ	KZ15	37293	47.9645	80.4344	-2334605	20250820163000	https://www.prokerala.com/news/articles/a1665993.html
1258624377	20250820	202508	2025	2025.6301	CRI	COSTA RICA	CRI																		0	043	043	04	1	2.8	5	1	5	-2.85103349964362	1	Costa Rica	CS	CS		10	-84	CS	0								1	Costa Rica	CS	CS		10	-84	CS	20250820163000	https://www.mondaq.com:443/unitedstates/trials-appeals-compensation/1668476/podcast-the-godfather-of-houston
1258624378	20250820	202508	2025	2025.6301	CRI	COSTA RICA	CRI																		1	051	051	05	1	3.4	2	1	2	-0.14853323431118	1	Brazil	BR	BR		-10	-55	BR	0								1	Brazil	BR	BR		-10	-55	BR	20250820163000	https://bitcoinmagazine.com/print/bitcoin-jungle-lightning-to-fiat-payments
1258624379	20250820	202508	2025	2025.6301	CRI	COSTA RICA	CRI								CAN	CANADIAN	CAN								1	051	051	05	1	3.4	4	1	4	-0.14853323431118	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	1	Brazil	BR	BR		-10	-55	BR	20250820163000	https://bitcoinmagazine.com/print/bitcoin-jungle-lightning-to-fiat-payments
1258624380	20250820	202508	2025	2025.6301	CRI	COSTA RICA	CRI								CAN	CANADIAN	CAN								1	051	051	05	1	3.4	1	1	1	-0.14853323431118	1	Brazil	BR	BR		-10	-55	BR	1	Canada	CA	CA		60	-96	CA	1	Brazil	BR	BR		-10	-55	BR	20250820163000	https://bitcoinmagazine.com/print/bitcoin-jungle-lightning-to-fiat-payments
1258624381	20250820	202508	2025	2025.6301	CRM	ASSAILANT						CRM													1	015	015	01	1	0.0	5	1	5	-8.14814814814815	4	Boon Lay, Singapore (general), Singapore	SN	SN00	18585	1.33333	103.7	-73111	0								4	Boon Lay, Singapore (general), Singapore	SN	SN00	18585	1.33333	103.7	-73111	20250820163000	https://www.thestar.com.my/aseanplus/aseanplus-news/2025/08/20/singaporean-man-admits-slapping-six-year-old-boy-who-kicked-styrofoam-wall-causing-his-daughter-to-fall
1258624382	20250820	202508	2025	2025.6301	CRM	CROOK						CRM													1	090	090	09	2	-2.0	2	1	2	-0.39370078740157	3	Crook County, Oregon, United States	US	USOR	OR013	44.1665	-120.084	1155128	0								3	Crook County, Oregon, United States	US	USOR		44.1665	-120.084	1155128	20250820163000	https://katu.com/news/local/missing-rock-hunter-from-west-linn-found-safe-in-maury-mountains-after-overnight-search-deschutes-crook-county-prineville-forest-service
1258624383	20250820	202508	2025	2025.6301	CRM	CRIMINAL						CRM													0	190	190	19	4	-10.0	10	1	10	-10.1508916323732	2	Oregon, United States	US	USOR		44.5672	-122.127	OR	0								2	Oregon, United States	US	USOR		44.5672	-122.127	OR	20250820163000	https://alaska-native-news.com/oregon-man-charged-with-administering-rapper-bot-ddos-for-hire-botnet/80251/
1258624384	20250820	202508	2025	2025.6301	CRM	CRIMINAL						CRM			COP	POLICE						COP			0	193	193	19	4	-10.0	5	1	5	-6.9078947368421	3	Cook County, Illinois, United States	US	USIL	IL031	41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250820163000	https://www.chicagotribune.com/2025/08/20/bullet-officer-krystal-rivera-autopsy/
1258624385	20250820	202508	2025	2025.6301	CRM	GANG						CRM			EDU	STUDENT						EDU			0	1821	182	18	4	-9.0	2	1	2	-5.15075376884422	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Calcutta, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Calcutta, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	20250820163000	https://www.dw.com/en/india-kolkata-doctor-murder-1-year-on-whats-changed/a-73703854
1258624386	20250820	202508	2025	2025.6301	CRM	GANG						CRM			EDU	STUDENT						EDU			0	1821	182	18	4	-9.0	6	1	6	-5.15075376884422	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Calcutta, West Bengal, India	IN	IN28	70294	22.5697	88.3697	-2092511	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20250820163000	https://www.dw.com/en/india-kolkata-doctor-murder-1-year-on-whats-changed/a-73703854
1258624387	20250820	202508	2025	2025.6301	CRM	GANG						CRM			EDU	STUDENT						EDU			0	1821	182	18	4	-9.0	2	1	2	-5.15075376884422	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	4	Delhi, Delhi, India	IN	IN07	17911	28.6667	77.2167	-2094230	20250820163000	https://www.dw.com/en/india-kolkata-doctor-murder-1-year-on-whats-changed/a-73703854
1258624388	20250820	202508	2025	2025.6301	CRM	CRIMINAL						CRM			GOV	KING						GOV			1	173	173	17	4	-5.0	2	1	2	-14.1235813366961	3	Cook County, Illinois, United States	US	USIL	IL031	41.8334	-87.8501	1784766	3	Will County, Illinois, United States	US	USIL		41.4334	-87.9667	1785190	3	Cook County, Illinois, United States	US	USIL		41.8334	-87.8501	1784766	20250820163000	https://www.chicagotribune.com/2025/08/20/child-pornography-evergreen-park/
1258624389	20250820	202508	2025	2025.6301	CRM	CRIMINAL						CRM			JUD	ATTORNEY						JUD			0	030	030	03	1	4.0	3	1	3	-1.07142857142857	3	Martinsville, Texas, United States	US	USTX	TX347	31.6427	-94.4141	1362239	3	Martinsville, Texas, United States	US	USTX	TX347	31.6427	-94.4141	1362239	3	Martinsville, Texas, United States	US	USTX	TX347	31.6427	-94.4141	1362239	20250820163000	https://martinsvillebulletin.com/news/local/government-politics/article_4e055bb1-b48e-4bc0-8c32-4c3e05a25f5b.html
1258624390	20250820	202508	2025	2025.6301	CRM	CRIMINAL						CRM			USA	UNITED STATES	USA								0	030	030	03	1	4.0	2	1	2	0.30165912518853	3	Tarboro, North Carolina, United States	US	USNC	NC065	35.8968	-77.5358	1022886	3	Tarboro, North Carolina, United States	US	USNC	NC065	35.8968	-77.5358	1022886	3	Tarboro, North Carolina, United States	US	USNC	NC065	35.8968	-77.5358	1022886	20250820163000	https://www.rockymounttelegram.com/news/local/nash-county-sheriff-lauds-new-interim-federal-prosecutor/article_8cfe7c6e-e735-4012-930c-7730e7530c3f.html
1258624391	20250820	202508	2025	2025.6301	CRM	CROOK						CRM			USA	UNITED STATES	USA								1	090	090	09	2	-2.0	2	1	2	-0.39370078740157	3	Crook County, Oregon, United States	US	USOR	OR013	44.1665	-120.084	1155128	3	Crook County, Oregon, United States	US	USOR		44.1665	-120.084	1155128	3	Crook County, Oregon, United States	US	USOR		44.1665	-120.084	1155128	20250820163000	https://katu.com/news/local/missing-rock-hunter-from-west-linn-found-safe-in-maury-mountains-after-overnight-search-deschutes-crook-county-prineville-forest-service
1258624392	20250820	202508	2025	2025.6301	CUB	CUBAN	CUB																		1	043	043	04	1	2.8	3	1	3	0.96741344195519	3	North Kingstown, Rhode Island, United States	US	USRI	RI009	41.5501	-71.4662	1219340	0								3	North Kingstown, Rhode Island, United States	US	USRI		41.5501	-71.4662	1219340	20250820163000	https://techxplore.com/news/2025-08-winged-ferry-glides-pelican-coastal.html
1258624393	20250820	202508	2025	2025.6301	CUB	CUBAN	CUB								JPN	JAPAN	JPN								1	043	043	04	1	2.8	1	1	1	0.96741344195519	1	Japan	JA	JA		36	138	JA	1	Japan	JA	JA		36	138	JA	3	North Kingstown, Rhode Island, United States	US	USRI		41.5501	-71.4662	1219340	20250820163000	https://techxplore.com/news/2025-08-winged-ferry-glides-pelican-coastal.html
1258624394	20250820	202508	2025	2025.6301	CVL	CIVIC GROUP						CVL													0	010	010	01	1	0.0	10	1	10	-5.08474576271186	1	North Korea	KN	KN		40	127	KN	0								1	North Korea	KN	KN		40	127	KN	20250820163000	http://thepeninsulaqatar.com/article/20/08/2025/seoul-blocks-elderly-ex-north-korean-spy-from-going-north-civic-group
1258624395	20250820	202508	2025	2025.6301	CVL	SCIENTIST						CVL													1	012	012	01	1	-0.4	5	1	5	-3.76766091051805	4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	0								4	Shanghai, Shanghai, China	CH	CH23	13243	31.2222	121.458	-1924465	20250820163000	https://www.ecoportal.net/en/12-cracks-under-the-ocean-blackout-risk/11828/
1258624396	20250820	202508	2025	2025.6301	CVL	COMMUNITY						CVL													1	012	012	01	1	-0.4	10	1	10	-7.52688172043011	1	Malawi	MI	MI		-13.5	34	MI	0								1	Malawi	MI	MI		-13.5	34	MI	20250820163000	https://www.africanews.com/2025/08/20/us-suspends-most-visa-processing-for-zimbabwe-amid-government-concerns/
1258624397	20250820	202508	2025	2025.6301	CVL	CITIZEN						CVL													0	020	020	02	1	3.0	5	1	5	-3.46715328467153	4	Sangvi, Maharashtra, India	IN	IN16	70170	21.4667	74.9833	-2110205	0								4	Sangvi, Maharashtra, India	IN	IN16	70170	21.4667	74.9833	-2110205	20250820163000	https://indianexpress.com/article/cities/pune/over-1100-pimpri-chinchwad-residents-shifted-to-camps-as-discharge-from-dams-touches-50000-cusecs-crematoriums-inundated-10201312/
1258624398	20250820	202508	2025	2025.6301	CVL	COMMUNITY						CVL													0	020	020	02	1	3.0	2	1	2	0.89730807577268	1	Cote D'ivoire	IV	IV		8	-5	IV	0								1	Cote D'ivoire	IV	IV		8	-5	IV	20250820163000	https://www.forbes.com/sites/eshachhabra/2025/08/20/californias-forager-invests-in-cashew-farmers-in-cte-divoire/
1258624399	20250820	202508	2025	2025.6301	CVL	COMMUNITY						CVL													0	036	036	03	1	4.0	5	1	5	1.60320641282565	4	Ondangwa, Oshana, Namibia	WA	WA37	22326	-17.9167	15.95	-2585186	0								4	Ondangwa, Oshana, Namibia	WA	WA37	22326	-17.9167	15.95	-2585186	20250820163000	https://allafrica.com/stories/202508200484.html
1258624400	20250820	202508	2025	2025.6301	CVL	NEIGHBORHOOD						CVL													1	036	036	03	1	4.0	2	1	2	-2.01005025125628	3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	0								3	Seattle, Washington, United States	US	USWA	WA033	47.6062	-122.332	1512650	20250820163000	http://www.chronline.com/stories/christian-worship-concert-moves-from-cal-anderson-park-to-gas-works,385691
1258624401	20250820	202508	2025	2025.6301	CVL	NEIGHBORHOOD						CVL													1	036	036	03	1	4.0	10	1	10	-0.86505190311419	3	Columbia City, Oregon, United States	US	USOR	OR009	45.8901	-122.807	1637838	0								3	Columbia City, Oregon, United States	US	USOR		45.8901	-122.807	1637838	20250820163000	https://www.thestranger.com/slog-am/2025/08/20/80203517/slog-am-nightmare-on-seattle-area-fred-meyers-christian-supremacists-move-event-to-gas-works-park-show-some-superhero-love-to-eelgrass
1258624402	20250820	202508	2025	2025.6301	CVL	VILLAGER						CVL													1	042	042	04	1	1.9	10	1	10	-10.0917431192661	4	Ranchi, Jharkhand, India	IN	IN38	17622	23.35	85.3333	-2109068	0								4	Ranchi, Jharkhand, India	IN	IN38	17622	23.35	85.3333	-2109068	20250820163000	https://www.prokerala.com/news/articles/a1666025.html
1258624403	20250820	202508	2025	2025.6301	CVL	COMMUNITY						CVL													0	043	043	04	1	2.8	5	1	5	-0.17953321364452	4	Windhoek, Khomas, Namibia	WA	WA21	22288	-22.57	17.0836	-2587496	0								4	Windhoek, Khomas, Namibia	WA	WA21	22288	-22.57	17.0836	-2587496	20250820163000	https://allafrica.com/stories/202508200482.html
1258624404	20250820	202508	2025	2025.6301	CVL	SMALL TOWN						CVL													1	043	043	04	1	2.8	5	1	5	-0.44444444444445	2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	0								2	Ohio, United States	US	USOH		40.3736	-82.7755	OH	20250820163000	https://www.timesgazette.com/2025/08/20/the-legend-of-joes-thumb/
1258624405	20250820	202508	2025	2025.6301	CVL	CITIZEN						CVL													0	051	051	05	1	3.4	1	1	1	7.65370138017566	5	Ogun State, Ogun, Nigeria	NI	NI16	22963	7	3.58333	-2022272	0								5	Ogun State, Ogun, Nigeria	NI	NI16	22963	7	3.58333	-2022272	20250820163000	https://www.pulse.ng/articles/lifestyle/isese-day-2025082015140069762
1258624406	20250820	202508	2025	2025.6301	CVL	COMMUNITY						CVL													1	051	051	05	1	3.4	10	1	10	3.77906976744186	2	Alabama, United States	US	USAL		32.799	-86.8073	AL	0								2	Alabama, United States	US	USAL		32.799	-86.8073	AL	20250820163000	https://abc3340.com/news/local/jacksonville-state-university-unveils-new-pedestrian-improvements-as-classes-begin
1258624407	20250820	202508	2025	2025.6301	CVL	COMMUNITY						CVL													1	051	051	05	1	3.4	2	1	2	-6.83544303797469	2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	0								2	Georgia, United States	US	USGA		32.9866	-83.6487	GA	20250820163000	https://www.11alive.com/article/news/community/amber-thurman-candi-miller-vigil-georgia-women-deaths-tied-to-abortion-restrictions/85-28c8f9f2-d0c1-4c38-a0cc-271b183e814f
